,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,title
0,Dead,3rd,male,22,1,0,7.2,Southampton,LR
1,Survived,1st,female,38,1,0,71.3,Cherbourg,LR
2,Survived,3rd,female,26,0,0,7.9,Southampton,LR
3,Survived,1st,female,35,1,0,53.1,Southampton,LR
4,Dead,3rd,male,35,0,0,8.1,Southampton,LR
5,Dead,3rd,male,29,0,0,8.5,Queenstown,LR
6,Dead,1st,male,54,0,0,51.9,Southampton,LR
7,Dead,3rd,male,2,3,1,21.1,Southampton,HR
8,Survived,3rd,female,27,0,2,11.1,Southampton,LR
9,Survived,2nd,female,14,1,0,30.1,Cherbourg,LR
10,Survived,3rd,female,4,1,1,16.7,Southampton,LR
11,Survived,1st,female,58,0,0,26.6,Southampton,LR
12,Dead,3rd,male,20,0,0,8.1,Southampton,LR
13,Dead,3rd,male,39,1,5,31.3,Southampton,LR
14,Dead,3rd,female,14,0,0,7.9,Southampton,LR
15,Survived,2nd,female,55,0,0,16.0,Southampton,LR
16,Dead,3rd,male,2,4,1,29.1,Queenstown,HR
17,Survived,2nd,male,29,0,0,13.0,Southampton,LR
18,Dead,3rd,female,31,1,0,18.0,Southampton,LR
19,Survived,3rd,female,29,0,0,7.2,Cherbourg,LR
20,Dead,2nd,male,35,0,0,26.0,Southampton,LR
21,Survived,2nd,male,34,0,0,13.0,Southampton,LR
22,Survived,3rd,female,15,0,0,8.0,Queenstown,LR
23,Survived,1st,male,28,0,0,35.5,Southampton,LR
24,Dead,3rd,female,8,3,1,21.1,Southampton,LR
25,Survived,3rd,female,38,1,5,31.4,Southampton,LR
26,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
27,Dead,1st,male,19,3,2,263.0,Southampton,LR
28,Survived,3rd,female,29,0,0,7.9,Queenstown,LR
29,Dead,3rd,male,29,0,0,7.9,Southampton,LR
30,Dead,1st,male,40,0,0,27.7,Cherbourg,HR
31,Survived,1st,female,29,1,0,146.5,Cherbourg,LR
32,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
33,Dead,2nd,male,66,0,0,10.5,Southampton,LR
34,Dead,1st,male,28,1,0,82.2,Cherbourg,LR
35,Dead,1st,male,42,1,0,52.0,Southampton,LR
36,Survived,3rd,male,29,0,0,7.2,Cherbourg,LR
37,Dead,3rd,male,21,0,0,8.1,Southampton,LR
38,Dead,3rd,female,18,2,0,18.0,Southampton,LR
39,Survived,3rd,female,14,1,0,11.2,Cherbourg,LR
40,Dead,3rd,female,40,1,0,9.5,Southampton,LR
41,Dead,2nd,female,27,1,0,21.0,Southampton,LR
42,Dead,3rd,male,29,0,0,7.9,Cherbourg,LR
43,Survived,2nd,female,3,1,2,41.6,Cherbourg,LR
44,Survived,3rd,female,19,0,0,7.9,Queenstown,LR
45,Dead,3rd,male,29,0,0,8.1,Southampton,LR
46,Dead,3rd,male,29,1,0,15.5,Queenstown,LR
47,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
48,Dead,3rd,male,29,2,0,21.7,Cherbourg,LR
49,Dead,3rd,female,18,1,0,17.8,Southampton,LR
50,Dead,3rd,male,7,4,1,39.7,Southampton,HR
51,Dead,3rd,male,21,0,0,7.8,Southampton,LR
52,Survived,1st,female,49,1,0,76.7,Cherbourg,LR
53,Survived,2nd,female,29,1,0,26.0,Southampton,LR
54,Dead,1st,male,65,0,1,62.0,Cherbourg,LR
55,Survived,1st,male,29,0,0,35.5,Southampton,LR
56,Survived,2nd,female,21,0,0,10.5,Southampton,LR
57,Dead,3rd,male,28,0,0,7.2,Cherbourg,LR
58,Survived,2nd,female,5,1,2,27.8,Southampton,LR
59,Dead,3rd,male,11,5,2,46.9,Southampton,HR
60,Dead,3rd,male,22,0,0,7.2,Cherbourg,LR
61,Survived,1st,female,38,0,0,80.0,Southampton,LR
62,Dead,1st,male,45,1,0,83.5,Southampton,LR
63,Dead,3rd,male,4,3,2,27.9,Southampton,HR
64,Dead,1st,male,29,0,0,27.7,Cherbourg,LR
65,Survived,3rd,male,29,1,1,15.2,Cherbourg,HR
66,Survived,2nd,female,29,0,0,10.5,Southampton,LR
67,Dead,3rd,male,19,0,0,8.2,Southampton,LR
68,Survived,3rd,female,17,4,2,7.9,Southampton,LR
69,Dead,3rd,male,26,2,0,8.7,Southampton,LR
70,Dead,2nd,male,32,0,0,10.5,Southampton,LR
71,Dead,3rd,female,16,5,2,46.9,Southampton,LR
72,Dead,2nd,male,21,0,0,73.5,Southampton,LR
73,Dead,3rd,male,26,1,0,14.5,Cherbourg,LR
74,Survived,3rd,male,32,0,0,56.5,Southampton,LR
75,Dead,3rd,male,25,0,0,7.7,Southampton,LR
76,Dead,3rd,male,29,0,0,7.9,Southampton,LR
77,Dead,3rd,male,29,0,0,8.1,Southampton,LR
78,Survived,2nd,male,0,0,2,29.0,Southampton,HR
79,Survived,3rd,female,30,0,0,12.5,Southampton,LR
80,Dead,3rd,male,22,0,0,9.0,Southampton,LR
81,Survived,3rd,male,29,0,0,9.5,Southampton,LR
82,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
83,Dead,1st,male,28,0,0,47.1,Southampton,LR
84,Survived,2nd,female,17,0,0,10.5,Southampton,LR
85,Survived,3rd,female,33,3,0,15.8,Southampton,LR
86,Dead,3rd,male,16,1,3,34.4,Southampton,LR
87,Dead,3rd,male,29,0,0,8.1,Southampton,LR
88,Survived,1st,female,23,3,2,263.0,Southampton,LR
89,Dead,3rd,male,24,0,0,8.1,Southampton,LR
90,Dead,3rd,male,29,0,0,8.1,Southampton,LR
91,Dead,3rd,male,20,0,0,7.9,Southampton,LR
92,Dead,1st,male,46,1,0,61.2,Southampton,LR
93,Dead,3rd,male,26,1,2,20.6,Southampton,LR
94,Dead,3rd,male,59,0,0,7.2,Southampton,LR
95,Dead,3rd,male,29,0,0,8.1,Southampton,LR
96,Dead,1st,male,71,0,0,34.7,Cherbourg,LR
97,Survived,1st,male,23,0,1,63.4,Cherbourg,LR
98,Survived,2nd,female,34,0,1,23.0,Southampton,LR
99,Dead,2nd,male,34,1,0,26.0,Southampton,LR
100,Dead,3rd,female,28,0,0,7.9,Southampton,LR
101,Dead,3rd,male,29,0,0,7.9,Southampton,LR
102,Dead,1st,male,21,0,1,77.3,Southampton,LR
103,Dead,3rd,male,33,0,0,8.7,Southampton,LR
104,Dead,3rd,male,37,2,0,7.9,Southampton,LR
105,Dead,3rd,male,28,0,0,7.9,Southampton,LR
106,Survived,3rd,female,21,0,0,7.7,Southampton,LR
107,Survived,3rd,male,29,0,0,7.8,Southampton,LR
108,Dead,3rd,male,38,0,0,7.9,Southampton,LR
109,Survived,3rd,female,29,1,0,24.1,Queenstown,LR
110,Dead,1st,male,47,0,0,52.0,Southampton,LR
111,Dead,3rd,female,14,1,0,14.5,Cherbourg,LR
112,Dead,3rd,male,22,0,0,8.1,Southampton,LR
113,Dead,3rd,female,20,1,0,9.8,Southampton,LR
114,Dead,3rd,female,17,0,0,14.5,Cherbourg,LR
115,Dead,3rd,male,21,0,0,7.9,Southampton,LR
116,Dead,3rd,male,70,0,0,7.8,Queenstown,LR
117,Dead,2nd,male,29,1,0,21.0,Southampton,LR
118,Dead,1st,male,24,0,1,247.5,Cherbourg,LR
119,Dead,3rd,female,2,4,2,31.3,Southampton,LR
120,Dead,2nd,male,21,2,0,73.5,Southampton,LR
121,Dead,3rd,male,29,0,0,8.1,Southampton,LR
122,Dead,2nd,male,32,1,0,30.1,Cherbourg,LR
123,Survived,2nd,female,32,0,0,13.0,Southampton,LR
124,Dead,1st,male,54,0,1,77.3,Southampton,LR
125,Survived,3rd,male,12,1,0,11.2,Cherbourg,HR
126,Dead,3rd,male,29,0,0,7.8,Queenstown,LR
127,Survived,3rd,male,24,0,0,7.1,Southampton,LR
128,Survived,3rd,female,29,1,1,22.4,Cherbourg,LR
129,Dead,3rd,male,45,0,0,7.0,Southampton,LR
130,Dead,3rd,male,33,0,0,7.9,Cherbourg,LR
131,Dead,3rd,male,20,0,0,7.0,Southampton,LR
132,Dead,3rd,female,47,1,0,14.5,Southampton,LR
133,Survived,2nd,female,29,1,0,26.0,Southampton,LR
134,Dead,2nd,male,25,0,0,13.0,Southampton,LR
135,Dead,2nd,male,23,0,0,15.0,Cherbourg,LR
136,Survived,1st,female,19,0,2,26.3,Southampton,LR
137,Dead,1st,male,37,1,0,53.1,Southampton,LR
138,Dead,3rd,male,16,0,0,9.2,Southampton,LR
139,Dead,1st,male,24,0,0,79.2,Cherbourg,LR
140,Dead,3rd,female,29,0,2,15.2,Cherbourg,LR
141,Survived,3rd,female,22,0,0,7.8,Southampton,LR
142,Survived,3rd,female,24,1,0,15.8,Southampton,LR
143,Dead,3rd,male,19,0,0,6.8,Queenstown,LR
144,Dead,2nd,male,18,0,0,11.5,Southampton,LR
145,Dead,2nd,male,19,1,1,36.8,Southampton,LR
146,Survived,3rd,male,27,0,0,7.8,Southampton,LR
147,Dead,3rd,female,9,2,2,34.4,Southampton,LR
148,Dead,2nd,male,36,0,2,26.0,Southampton,LR
149,Dead,2nd,male,42,0,0,13.0,Southampton,HR
150,Dead,2nd,male,51,0,0,12.5,Southampton,HR
151,Survived,1st,female,22,1,0,66.6,Southampton,LR
152,Dead,3rd,male,55,0,0,8.1,Southampton,LR
153,Dead,3rd,male,40,0,2,14.5,Southampton,LR
154,Dead,3rd,male,29,0,0,7.3,Southampton,LR
155,Dead,1st,male,51,0,1,61.4,Cherbourg,LR
156,Survived,3rd,female,16,0,0,7.7,Queenstown,LR
157,Dead,3rd,male,30,0,0,8.1,Southampton,LR
158,Dead,3rd,male,29,0,0,8.7,Southampton,LR
159,Dead,3rd,male,29,8,2,69.5,Southampton,HR
160,Dead,3rd,male,44,0,1,16.1,Southampton,LR
161,Survived,2nd,female,40,0,0,15.8,Southampton,LR
162,Dead,3rd,male,26,0,0,7.8,Southampton,LR
163,Dead,3rd,male,17,0,0,8.7,Southampton,LR
164,Dead,3rd,male,1,4,1,39.7,Southampton,HR
165,Survived,3rd,male,9,0,2,20.5,Southampton,HR
166,Survived,1st,female,29,0,1,55.0,Southampton,LR
167,Dead,3rd,female,45,1,4,27.9,Southampton,LR
168,Dead,1st,male,29,0,0,25.9,Southampton,LR
169,Dead,3rd,male,28,0,0,56.5,Southampton,LR
170,Dead,1st,male,61,0,0,33.5,Southampton,LR
171,Dead,3rd,male,4,4,1,29.1,Queenstown,HR
172,Survived,3rd,female,1,1,1,11.1,Southampton,LR
173,Dead,3rd,male,21,0,0,7.9,Southampton,LR
174,Dead,1st,male,56,0,0,30.7,Cherbourg,LR
175,Dead,3rd,male,18,1,1,7.9,Southampton,LR
176,Dead,3rd,male,29,3,1,25.5,Southampton,HR
177,Dead,1st,female,50,0,0,28.7,Cherbourg,LR
178,Dead,2nd,male,30,0,0,13.0,Southampton,LR
179,Dead,3rd,male,36,0,0,0.0,Southampton,LR
180,Dead,3rd,female,29,8,2,69.5,Southampton,LR
181,Dead,2nd,male,29,0,0,15.1,Cherbourg,LR
182,Dead,3rd,male,9,4,2,31.4,Southampton,HR
183,Survived,2nd,male,1,2,1,39.0,Southampton,HR
184,Survived,3rd,female,4,0,2,22.0,Southampton,LR
185,Dead,1st,male,29,0,0,50.0,Southampton,LR
186,Survived,3rd,female,29,1,0,15.5,Queenstown,LR
187,Survived,1st,male,45,0,0,26.6,Southampton,LR
188,Dead,3rd,male,40,1,1,15.5,Queenstown,LR
189,Dead,3rd,male,36,0,0,7.9,Southampton,LR
190,Survived,2nd,female,32,0,0,13.0,Southampton,LR
191,Dead,2nd,male,19,0,0,13.0,Southampton,LR
192,Survived,3rd,female,19,1,0,7.9,Southampton,LR
193,Survived,2nd,male,3,1,1,26.0,Southampton,HR
194,Survived,1st,female,44,0,0,27.7,Cherbourg,LR
195,Survived,1st,female,58,0,0,146.5,Cherbourg,LR
196,Dead,3rd,male,29,0,0,7.8,Queenstown,LR
197,Dead,3rd,male,42,0,1,8.4,Southampton,LR
198,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
199,Dead,2nd,female,24,0,0,13.0,Southampton,LR
200,Dead,3rd,male,28,0,0,9.5,Southampton,LR
201,Dead,3rd,male,29,8,2,69.5,Southampton,LR
202,Dead,3rd,male,34,0,0,6.5,Southampton,LR
203,Dead,3rd,male,45,0,0,7.2,Cherbourg,LR
204,Survived,3rd,male,18,0,0,8.1,Southampton,LR
205,Dead,3rd,female,2,0,1,10.5,Southampton,LR
206,Dead,3rd,male,32,1,0,15.8,Southampton,LR
207,Survived,3rd,male,26,0,0,18.8,Cherbourg,LR
208,Survived,3rd,female,16,0,0,7.8,Queenstown,LR
209,Survived,1st,male,40,0,0,31.0,Cherbourg,LR
210,Dead,3rd,male,24,0,0,7.0,Southampton,LR
211,Survived,2nd,female,35,0,0,21.0,Southampton,LR
212,Dead,3rd,male,22,0,0,7.2,Southampton,LR
213,Dead,2nd,male,30,0,0,13.0,Southampton,LR
214,Dead,3rd,male,29,1,0,7.8,Queenstown,LR
215,Survived,1st,female,31,1,0,113.3,Cherbourg,LR
216,Survived,3rd,female,27,0,0,7.9,Southampton,LR
217,Dead,2nd,male,42,1,0,27.0,Southampton,LR
218,Survived,1st,female,32,0,0,76.3,Cherbourg,LR
219,Dead,2nd,male,30,0,0,10.5,Southampton,LR
220,Survived,3rd,male,16,0,0,8.1,Southampton,LR
221,Dead,2nd,male,27,0,0,13.0,Southampton,LR
222,Dead,3rd,male,51,0,0,8.1,Southampton,LR
223,Dead,3rd,male,29,0,0,7.9,Southampton,LR
224,Survived,1st,male,38,1,0,90.0,Southampton,LR
225,Dead,3rd,male,22,0,0,9.3,Southampton,LR
226,Survived,2nd,male,19,0,0,10.5,Southampton,LR
227,Dead,3rd,male,20,0,0,7.2,Southampton,LR
228,Dead,2nd,male,18,0,0,13.0,Southampton,LR
229,Dead,3rd,female,29,3,1,25.5,Southampton,LR
230,Survived,1st,female,35,1,0,83.5,Southampton,LR
231,Dead,3rd,male,29,0,0,7.8,Southampton,LR
232,Dead,2nd,male,59,0,0,13.5,Southampton,LR
233,Survived,3rd,female,5,4,2,31.4,Southampton,LR
234,Dead,2nd,male,24,0,0,10.5,Southampton,LR
235,Dead,3rd,female,29,0,0,7.5,Southampton,LR
236,Dead,2nd,male,44,1,0,26.0,Southampton,LR
237,Survived,2nd,female,8,0,2,26.2,Southampton,LR
238,Dead,2nd,male,19,0,0,10.5,Southampton,LR
239,Dead,2nd,male,33,0,0,12.3,Southampton,LR
240,Dead,3rd,female,29,1,0,14.5,Cherbourg,LR
241,Survived,3rd,female,29,1,0,15.5,Queenstown,LR
242,Dead,2nd,male,29,0,0,10.5,Southampton,LR
243,Dead,3rd,male,22,0,0,7.1,Southampton,LR
244,Dead,3rd,male,30,0,0,7.2,Cherbourg,LR
245,Dead,1st,male,44,2,0,90.0,Queenstown,HR
246,Dead,3rd,female,25,0,0,7.8,Southampton,LR
247,Survived,2nd,female,24,0,2,14.5,Southampton,LR
248,Survived,1st,male,37,1,1,52.6,Southampton,LR
249,Dead,2nd,male,54,1,0,26.0,Southampton,HR
250,Dead,3rd,male,29,0,0,7.2,Southampton,LR
251,Dead,3rd,female,29,1,1,10.5,Southampton,LR
252,Dead,1st,male,62,0,0,26.6,Southampton,LR
253,Dead,3rd,male,30,1,0,16.1,Southampton,LR
254,Dead,3rd,female,41,0,2,20.2,Southampton,LR
255,Survived,3rd,female,29,0,2,15.2,Cherbourg,LR
256,Survived,1st,female,29,0,0,79.2,Cherbourg,LR
257,Survived,1st,female,30,0,0,86.5,Southampton,LR
258,Survived,1st,female,35,0,0,512.3,Cherbourg,LR
259,Survived,2nd,female,50,0,1,26.0,Southampton,LR
260,Dead,3rd,male,29,0,0,7.8,Queenstown,LR
261,Survived,3rd,male,3,4,2,31.4,Southampton,HR
262,Dead,1st,male,52,1,1,79.7,Southampton,LR
263,Dead,1st,male,40,0,0,0.0,Southampton,LR
264,Dead,3rd,female,29,0,0,7.8,Queenstown,LR
265,Dead,2nd,male,36,0,0,10.5,Southampton,LR
266,Dead,3rd,male,16,4,1,39.7,Southampton,LR
267,Survived,3rd,male,25,1,0,7.8,Southampton,LR
268,Survived,1st,female,58,0,1,153.5,Southampton,LR
269,Survived,1st,female,35,0,0,135.6,Southampton,LR
270,Dead,1st,male,29,0,0,31.0,Southampton,LR
271,Survived,3rd,male,25,0,0,0.0,Southampton,LR
272,Survived,2nd,female,41,0,1,19.5,Southampton,LR
273,Dead,1st,male,37,0,1,29.7,Cherbourg,LR
274,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
275,Survived,1st,female,63,1,0,78.0,Southampton,LR
276,Dead,3rd,female,45,0,0,7.8,Southampton,LR
277,Dead,2nd,male,29,0,0,0.0,Southampton,LR
278,Dead,3rd,male,7,4,1,29.1,Queenstown,HR
279,Survived,3rd,female,35,1,1,20.2,Southampton,LR
280,Dead,3rd,male,65,0,0,7.8,Queenstown,LR
281,Dead,3rd,male,28,0,0,7.9,Southampton,LR
282,Dead,3rd,male,16,0,0,9.5,Southampton,LR
283,Survived,3rd,male,19,0,0,8.1,Southampton,LR
284,Dead,1st,male,29,0,0,26.0,Southampton,LR
285,Dead,3rd,male,33,0,0,8.7,Cherbourg,LR
286,Survived,3rd,male,30,0,0,9.5,Southampton,LR
287,Dead,3rd,male,22,0,0,7.9,Southampton,LR
288,Survived,2nd,male,42,0,0,13.0,Southampton,LR
289,Survived,3rd,female,22,0,0,7.8,Queenstown,LR
290,Survived,1st,female,26,0,0,78.8,Southampton,LR
291,Survived,1st,female,19,1,0,91.1,Cherbourg,LR
292,Dead,2nd,male,36,0,0,12.9,Cherbourg,LR
293,Dead,3rd,female,24,0,0,8.8,Southampton,LR
294,Dead,3rd,male,24,0,0,7.9,Southampton,LR
295,Dead,1st,male,29,0,0,27.7,Cherbourg,LR
296,Dead,3rd,male,23,0,0,7.2,Cherbourg,LR
297,Dead,1st,female,2,1,2,151.6,Southampton,LR
